LP|Substancja czynna|Nazwa  postać i dawka|Zawartość opakowania|Numer GTIN lub inny kod jednoznacznie identyfikujący produkt|Termin wejścia w życie decyzji|Okres obowiązywania decyzji|Grupa limitowa|Urzędowa cena zbytu|Cena hurtowa brutto|Cena detaliczna|Wysokość limitu finansowania|Zakres wskazań objętych refundacją|Zakres wskazań pozarejestracyjnych objętych refundacją|Poziom odpłatności|Wysokość dopłaty świadczeniobiorcy
3218|Risperidonum|Rispolept Consta, proszek i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań o przedłużonym uwalnianiu, 50 mg|1 fiol. + 1 strz. + 1 urządzenie do przygotowania zawiesiny + 2 igły do wstrzyknięcia domięśniowego|05909991058029|2022-01-01|3 lata|178.6, Leki przeciwpsychotyczne - rysperydon i paliperydon do stosowania pozajelitowego - postacie o przedłużonym uwalnianiu|577,80|606,69|634,36|634,36|Schizofrenia w przypadku nawrotu objawów psychotycznych podczas terapii neuroleptykami w wyniku udokumentowanego, uporczywego braku współpracy chorego||ryczałt|3,20
3219|Risperidonum|Ryspolit, tabl. powl., 1 mg|20 szt.|05909990567683|2022-01-01  - dla kolumny M, 2021-01-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|178.5, Leki przeciwpsychotyczne - rysperydon do stosowania doustnego|7,17|7,53|9,73|7,15|Schizofrenia|zespół Tourette'a|ryczałt|5,78
3220|Risperidonum|Ryspolit, roztwór doustny, 1 mg/ml|1 but.po 100 ml|05909990721405|2022-01-01  - dla kolumny M, 2021-01-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|178.5, Leki przeciwpsychotyczne - rysperydon do stosowania doustnego|36,85|38,69|45,44|35,73|Schizofrenia|zespół Tourette'a|ryczałt|12,91
3221|Risperidonum|Ryspolit, roztwór doustny, 1 mg/ml|1 but.po 30 ml|05909990721399|2022-01-01  - dla kolumny M, 2021-01-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|178.5, Leki przeciwpsychotyczne - rysperydon do stosowania doustnego|10,69|11,22|14,27|10,72|Schizofrenia|zespół Tourette'a|ryczałt|6,75
3222|Risperidonum|Ryspolit, tabl. powl., 2 mg|20 szt.|05909990567737|2022-01-01  - dla kolumny M, 2021-01-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|178.5, Leki przeciwpsychotyczne - rysperydon do stosowania doustnego|15,03|15,78|19,55|14,29|Schizofrenia|zespół Tourette'a|ryczałt|8,46
3223|Risperidonum|Ryspolit, tabl. powl., 3 mg|20 szt.|05909990567935|2022-01-01  - dla kolumny M, 2021-01-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|178.5, Leki przeciwpsychotyczne - rysperydon do stosowania doustnego|22,25|23,36|28,26|21,44|Schizofrenia|zespół Tourette'a|ryczałt|10,02
3224|Risperidonum|Ryspolit, tabl. powl., 4 mg|20 szt.|05909990568031|2022-01-01  - dla kolumny M, 2021-01-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|178.5, Leki przeciwpsychotyczne - rysperydon do stosowania doustnego|30,24|31,75|37,65|28,58|Schizofrenia|zespół Tourette'a|ryczałt|12,27
3225|Risperidonum|Torendo Q-Tab 1 mg, tabl. ulegające rozpadowi w jamie ustnej, 1 mg|20 szt.|05909990034932|2022-01-01  - dla kolumny M, 2021-01-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|178.5, Leki przeciwpsychotyczne - rysperydon do stosowania doustnego|5,94|6,24|8,44|7,15|Schizofrenia|zespół Tourette'a|ryczałt|4,49
3226|Risperidonum|Torendo Q-Tab 1 mg, tabl. ulegające rozpadowi w jamie ustnej, 1 mg|50 szt.|05909990680849|2022-01-01  - dla kolumny M, 2021-01-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|178.5, Leki przeciwpsychotyczne - rysperydon do stosowania doustnego|13,38|14,05|18,39|17,86|Schizofrenia|zespół Tourette'a|ryczałt|3,73
3227|Risperidonum|Torendo Q-Tab 2 mg, tabl. ulegające rozpadowi w jamie ustnej, 2 mg|20 szt.|05909990034994|2022-01-01  - dla kolumny M, 2021-01-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|178.5, Leki przeciwpsychotyczne - rysperydon do stosowania doustnego|11,88|12,47|16,24|14,29|Schizofrenia|zespół Tourette'a|ryczałt|5,15
3228|Risperidonum|Torendo Q-Tab 2 mg, tabl. ulegające rozpadowi w jamie ustnej, 2 mg|50 szt.|05909990680863|2022-01-01  - dla kolumny M, 2021-01-01  - dla kolumny N|3 lata - dla kolumny M, 2 lata - dla kolumny N|178.5, Leki przeciwpsychotyczne - rysperydon do stosowania doustnego|26,77|28,11|34,86|34,86|Schizofrenia|zespół Tourette'a|ryczałt|3,20
3229|Rivaroxabanum|Xarelto, tabl., 10 mg|10 szt.|05909990658145|2021-09-01|3 lata|22.0, Heparyny drobnocząsteczkowe i leki o działaniu heparyn drobnocząsteczkowych|80,46|84,48|92,15|42,14|Żylne powikłania zakrzepowo-zatorowe u dorosłych pacjentów po przebytej planowej alloplastyce całkowitej stawu biodrowego (do 30 dnia po przebytej alloplastyce) lub kolanowego (do 14 dnia po przebytej alloplastyce) - prewencja pierwotna||ryczałt|53,21
3230|Rivaroxabanum|Xarelto, tabl. powl., 15 mg|14 szt.|05909990910601|<1>2021-09-01/<2>2020-09-01|3 lata|22.0, Heparyny drobnocząsteczkowe i leki o działaniu heparyn drobnocząsteczkowych|112,64|118,27|130,01|88,49|<1>Leczenie zakrzepicy żył głębokich u osób powyżej 18 roku życia; Profilaktyka nawrotów zakrzepicy żył głębokich lub zatorowości płucnej - po ostrej zakrzepicy żył głębokich u osób powyżej 18 roku życia; <2>Leczenie zatorowości płucnej oraz profilaktyka nawrotowej zakrzepicy żył głębokich i zatorowości płucnej u dorosłych||30%|68,07
3231|Rivaroxabanum|Xarelto, tabl. powl., 15 mg|42 szt.|05909990910663|<1>2021-09-01/<2>2020-09-01|3 lata|22.0, Heparyny drobnocząsteczkowe i leki o działaniu heparyn drobnocząsteczkowych|337,93|354,83|372,76|265,48|<1>Leczenie zakrzepicy żył głębokich u osób powyżej 18 roku życia; Profilaktyka nawrotów zakrzepicy żył głębokich lub zatorowości płucnej - po ostrej zakrzepicy żył głębokich u osób powyżej 18 roku życia; <2>Leczenie zatorowości płucnej oraz profilaktyka nawrotowej zakrzepicy żył głębokich i zatorowości płucnej u dorosłych||30%|186,92
3232|Rivaroxabanum|Xarelto, tabl. powl., 20 mg|14 szt.|05909990910700|<1>2021-09-01/<2>2020-09-01|3 lata|22.0, Heparyny drobnocząsteczkowe i leki o działaniu heparyn drobnocząsteczkowych|112,64|118,27|131,60|117,99|<1>Leczenie zakrzepicy żył głębokich u osób powyżej 18 roku życia; Profilaktyka nawrotów zakrzepicy żył głębokich lub zatorowości płucnej - po ostrej zakrzepicy żył głębokich u osób powyżej 18 roku życia; <2>Leczenie zatorowości płucnej oraz profilaktyka nawrotowej zakrzepicy żył głębokich i zatorowości płucnej u dorosłych||30%|49,01
3233|Rivastigminum|Evertas, system transdermalny, plaster, 4.6 mg/24h|30 szt.|05909991078386|2019-07-01|3 lata|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|62,51|65,64|69,43|14,16|Choroba Alzheimera||30%|59,52
3234|Rivastigminum|Evertas, system transdermalny, plaster, 9.5 mg/24h|30 szt.|05909991421762|2021-07-01|3 lata|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|117,07|122,92|128,96|29,25|Choroba Alzheimera||30%|108,49
3235|Rivastigminum|Evertas, system transdermalny, plaster, 9.5 mg/24h|30 szt.|05909991439415|2021-05-01|3 lata|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|117,18|123,04|129,09|29,25|Choroba Alzheimera||30%|108,62
3236|Rivastigminum|Evertas, system transdermalny, plaster, 9.5 mg/24h|30 szt.|05909991078454|2019-07-01|3 lata|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|129,11|135,57|141,62|29,25|Choroba Alzheimera||30%|121,15
3237|Rivastigminum|Exelon, system transdermalny, 13.3 mg/24h|30 sasz.|05909991032609|2022-01-01|3 lata|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|203,21|213,37|220,84|40,95|Choroba Alzheimera||30%|192,18
3238|Rivastigminum|Exelon, system transdermalny, 4.6 mg/24h|30 sasz.|05909990066704|2022-01-01|3 lata|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|76,54|80,37|84,16|14,16|Choroba Alzheimera||30%|74,25
3239|Rivastigminum|Exelon, system transdermalny, 9.5 mg/24h|30 sasz.|05909990066766|2022-01-01|3 lata|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|145,81|153,10|159,15|29,25|Choroba Alzheimera||30%|138,68
3240|Rivastigminum|Nimvastid, kaps. twarde, 1.5 mg|28 szt.|05909990700646|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|12,51|13,14|14,62|4,55|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|11,44
3241|Rivastigminum|Nimvastid, tabl. ulegające rozpadowi w jamie ustnej, 1.5 mg|28 szt.|05909990700660|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|12,51|13,14|14,62|4,55|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|11,44
3242|Rivastigminum|Nimvastid, kaps. twarde, 3 mg|28 szt.|05909990700684|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|20,75|21,79|24,50|9,10|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|18,13
3243|Rivastigminum|Nimvastid, tabl. ulegające rozpadowi w jamie ustnej, 3 mg|28 szt.|05909990700691|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|20,75|21,79|24,50|9,10|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|18,13
3244|Rivastigminum|Nimvastid, tabl. ulegające rozpadowi w jamie ustnej, 3 mg|56 szt.|05909990700721|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|40,93|42,98|47,43|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|34,69
3245|Rivastigminum|Nimvastid, kaps. twarde, 3 mg|56 szt.|05909990700707|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|41,49|43,56|48,01|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|35,27
3246|Rivastigminum|Nimvastid, kaps. twarde, 4.5 mg|28 szt.|05909990700738|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|31,11|32,67|36,38|13,65|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|26,83
3247|Rivastigminum|Nimvastid, tabl. ulegające rozpadowi w jamie ustnej, 4.5 mg|28 szt.|05909990700745|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|31,11|32,67|36,38|13,65|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|26,83
3248|Rivastigminum|Nimvastid, tabl. ulegające rozpadowi w jamie ustnej, 4.5 mg|56 szt.|05909990700769|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|61,45|64,52|70,34|27,30|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|51,23
3249|Rivastigminum|Nimvastid, kaps. twarde, 4.5 mg|56 szt.|05909990700752|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|62,23|65,34|71,16|27,30|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|52,05
3250|Rivastigminum|Nimvastid, kaps. twarde, 6 mg|28 szt.|05909990700790|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|41,49|43,56|48,01|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|35,27
3251|Rivastigminum|Nimvastid, tabl. ulegające rozpadowi w jamie ustnej, 6 mg|28 szt.|05909990700806|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|41,49|43,56|48,01|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|35,27
3252|Rivastigminum|Nimvastid, tabl. ulegające rozpadowi w jamie ustnej, 6 mg|56 szt.|05909990700851|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|81,97|86,07|92,99|36,40|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|67,51
3253|Rivastigminum|Nimvastid, kaps. twarde, 6 mg|56 szt.|05909990700844|2022-01-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|82,98|87,13|94,05|36,40|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|68,57
3254|Rivastigminum|Ristidic, kaps. twarde, 1.5 mg|28 szt.|05909990782048|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|9,98|10,48|11,96|4,55|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|8,78
3255|Rivastigminum|Ristidic, kaps. twarde, 1.5 mg|56 szt.|05909990782055|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|19,96|20,96|23,67|9,10|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|17,30
3256|Rivastigminum|Ristidic, kaps. twarde, 3 mg|28 szt.|05909990782079|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|17,64|18,52|21,23|9,10|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|14,86
3257|Rivastigminum|Ristidic, kaps. twarde, 3 mg|56 szt.|05909990782086|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|36,29|38,10|42,55|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|29,81
3258|Rivastigminum|Ristidic, kaps. twarde, 4.5 mg|28 szt.|05909990782147|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|28,73|30,17|33,89|13,65|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|24,34
3259|Rivastigminum|Ristidic, kaps. twarde, 4.5 mg|56 szt.|05909990782154|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|60,48|63,50|69,32|27,30|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|50,21
3260|Rivastigminum|Ristidic, kaps. twarde, 6 mg|28 szt.|05909990782178|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|35,28|37,04|41,49|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|28,75
3261|Rivastigminum|Ristidic, kaps. twarde, 6 mg|56 szt.|05909990782185|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|79,83|83,82|90,74|36,40|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|65,26
3262|Rivastigminum|Rivaldo, kaps. twarde, 3 mg|56 szt.|05909990816255|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|41,69|43,77|48,22|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|35,48
3263|Rivastigminum|Rivaldo, kaps. twarde, 4.5 mg|28 szt.|05909990816262|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|31,27|32,83|36,54|13,65|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|26,99
3264|Rivastigminum|Rivaldo, kaps. twarde, 4.5 mg|56 szt.|05909990816279|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|62,53|65,66|71,48|27,30|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|52,37
3265|Rivastigminum|Rivaldo, kaps. twarde, 6 mg|28 szt.|05909990816286|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|41,69|43,77|48,22|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|35,48
3266|Rivastigminum|Rivaldo, kaps. twarde, 6 mg|56 szt.|05909990816293|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|83,38|87,55|94,46|36,40|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|68,98
3267|Rivastigminum|Rivastigmin NeuroPharma, kaps. twarde, 1.5 mg|28 szt.|05909990982981|2019-07-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|7,17|7,53|9,01|4,55|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|5,83
3268|Rivastigminum|Rivastigmin NeuroPharma, kaps. twarde, 3 mg|28 szt.|05909990983162|2019-07-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|14,32|15,04|17,75|9,10|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|11,38
3269|Rivastigminum|Rivastigmin NeuroPharma, kaps. twarde, 3 mg|56 szt.|05909990983179|2019-07-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|28,62|30,05|34,50|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|21,76
3270|Rivastigminum|Rivastigmin NeuroPharma, kaps. twarde, 4.5 mg|28 szt.|05909990983308|2019-07-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|21,46|22,53|26,24|13,65|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|16,69
3271|Rivastigminum|Rivastigmin NeuroPharma, kaps. twarde, 4.5 mg|56 szt.|05909990983322|2019-07-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|42,93|45,08|50,90|27,30|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|31,79
3272|Rivastigminum|Rivastigmin NeuroPharma, kaps. twarde, 6 mg|28 szt.|05909990983506|2019-07-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|28,62|30,05|34,50|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|21,76
3273|Rivastigminum|Rivastigmin NeuroPharma, kaps. twarde, 6 mg|56 szt.|05909990983544|2019-07-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|57,25|60,11|67,03|36,40|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|41,55
3274|Rivastigminum|Rivastigmin Orion, kaps. twarde, 3 mg|28 szt.|05909990778935|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|17,28|18,14|20,85|9,10|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|14,48
3275|Rivastigminum|Rivastigmin Orion, kaps. twarde, 3 mg|56 szt.|05909990778942|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|32,40|34,02|38,47|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|25,73
3276|Rivastigminum|Rivastigmin Orion, kaps. twarde, 4.5 mg|28 szt.|05909990778966|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|23,76|24,95|28,66|13,65|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|19,11
3277|Rivastigminum|Rivastigmin Orion, kaps. twarde, 4.5 mg|56 szt.|05909990778973|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|46,12|48,43|54,25|27,30|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|35,14
3278|Rivastigminum|Rivastigmin Orion, kaps. twarde, 6 mg|28 szt.|05909990778997|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|30,24|31,75|36,20|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|23,46
3279|Rivastigminum|Rivastigmin Orion, kaps. twarde, 6 mg|56 szt.|05909990779000|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|59,83|62,82|69,74|36,40|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|44,26
3280|Rivastigminum|Rivastigmine Mylan, kaps. twarde, 1.5 mg|28 szt.|05909990803156|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|9,18|9,64|11,12|4,55|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|7,94
3281|Rivastigminum|Rivastigmine Mylan, kaps. twarde, 3 mg|28 szt.|05909990803545|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|14,36|15,08|17,79|9,10|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|11,42
3282|Rivastigminum|Rivastigmine Mylan, kaps. twarde, 3 mg|56 szt.|05909990803569|2019-05-01  - dla kolumny M, 2019-09-01  - dla kolumny N|3 lata - dla kolumny M, 3 lata - dla kolumny N|186.0, Leki psychoanaleptyczne - Inhibitory acetylocholinoesterazy stosowane w leczeniu choroby Alzheimera|28,73|30,17|34,63|18,20|Choroba Alzheimera|otępienie z ciałami Lewy'ego|30%|21,89
